05:08:2013 01:58:31 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:23; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:23 Checksum: 0
05:08:2013 01:58:47 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:38; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:38 Checksum: 0
05:08:2013 01:59:07 orderId: 5; ServiceName:  Amount: 10.50; Date: 2013-08-02 11:24:45; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-02 11:24:45 Checksum: 0
05:08:2013 01:59:16 orderId: ; ServiceName:  Amount: ; Date: ; Currency: ; Status: ; Name: ; Email: ; PaymentData:  Checksum: 0
05:08:2013 01:59:37 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:23; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:23 Checksum: 0
05:08:2013 01:59:52 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:38; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:38 Checksum: 0
05:08:2013 02:01:17 orderId: 5; ServiceName:  Amount: 10.50; Date: 2013-08-02 11:29:31; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-02 11:29:31 Checksum: 0
05:08:2013 02:01:37 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:23; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:23 Checksum: 0
05:08:2013 02:01:47 orderId: 5; ServiceName:  Amount: 10.50; Date: 2013-08-02 11:29:46; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-02 11:29:46 Checksum: 0
05:08:2013 02:01:57 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:38; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:38 Checksum: 0
05:08:2013 02:04:42 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:23; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:23 Checksum: 0
05:08:2013 02:04:58 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:38; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:38 Checksum: 0
05:08:2013 02:08:43 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:23; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:23 Checksum: 0
05:08:2013 02:09:03 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:38; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:38 Checksum: 0
05:08:2013 02:10:33 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-02 11:40:14; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-02 11:40:14 Checksum: 0
05:08:2013 02:13:44 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-05 13:58:23; Currency: TST; Status: 3; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-05 13:58:23 Checksum: 0
05:08:2013 02:13:49 orderId: 2; ServiceName:  Amount: 12.35; Date: 2013-08-02 11:40:29; Currency: TST; Status: 5; Name: ; Email: evgeniy@goodpractice.ru; PaymentData: 2013-08-02 11:40:29 Checksum: 0
